H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,H.eta,H.phi,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
175.0313,177.87105,1.77682,90.432884,1.77682,87.438156,"[3.978916, 3.978916]","[-2.7631176, -2.7631176]","[2.5428174, 2.5428174]",18.146269,24.045916,19.120596,38.52014,1,38.21205,-0.2745529,1.0752438,1.2951488,-1,1,67.82436,-0.09482784,-2.1074946,1.380305,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.86307,390.1388,1.77682,359.52405,1.77682,30.614742,"[114.836205, 114.836205]","[-1.775736, -1.775736]","[-0.83492273, -0.83492273]",75.787025,-28.738956,45.19027,-34.867413,1,68.3615,-1.7209063,-0.67500085,4.950965,-1,1,26.32007,0.26700816,-2.5969236,2.0665035,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.52888,603.2692,1.77682,129.45122,1.77682,473.818,"[64.73239, 64.73239]","[2.8783884, 2.8783884]","[1.336876, 1.336876]",18.372494,-43.66002,7.6817656,16.96754,1,51.670887,1.1715772,0.16132854,1.1695334,-1,1,75.6447,2.5002775,2.3826425,6.4108377,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.85863,189.31764,1.77682,68.20965,1.77682,121.10799,"[16.481905, 16.481905]","[-2.1622074, -2.1622074]","[-1.1226131, -1.1226131]",-7.59311,-42.994057,-2.9239252,-23.571745,3,12.556236,0.73652697,-1.9093757,0.1056583755,-1,1,29.256704,-1.6873528,0.96541446,1.3490152,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.80905,289.18024,1.77682,120.87819,1.77682,168.30206,"[32.108135, 32.108135]","[-2.6554534, -2.6554534]","[-2.6974082, -2.6974082]",-25.422335,-27.592878,-38.858902,-36.362724,1,62.56915,-1.0557206,0.97448784,4.4458513,-1,1,44.994823,-1.1094887,-2.351131,5.4026933,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.53062,1280.2147,1.77682,36.742023,1.77682,1243.4728,"[163.60709, 163.60709]","[-2.7367861, -2.7367861]","[-0.67049146, -0.67049146]",124.00001,-105.34545,99.557335,-96.66322,1,22.83326,-0.8303108,1.0341014,1.5095153,-1,1,30.369545,-2.793378,-0.8038396,4.2588286,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.3342,1038.9366,1.77682,234.70065,1.77682,804.23596,"[32.936058, 32.936058]","[-4.129826, -4.129826]","[2.309699, 2.309699]",0.73838633,-5.423933,-10.021433,4.8368225,2,51.710117,-1.8306029,0.94562715,0.0005109989499999,-1,1,62.964226,-2.9560199,-2.6770558,1.8748806,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.13152,379.8376,1.77682,225.46141,1.77682,154.37617,"[44.49655, 44.49655]","[-2.7135935, -2.7135935]","[-0.54878867, -0.54878867]",9.915834,-53.13745,26.695297,-49.329338,1,46.570225,-1.379484,-1.1248742,0.111793235,-1,1,81.83885,-1.3376771,1.7261475,4.2670283,-1,342.03419201918734,5.594793833210288,346.5106427662397
174.96286,676.6658,1.77682,157.19516,1.77682,519.47064,"[5.2016497, 5.2016497]","[5.526735, 5.526735]","[2.45082, 2.45082]",-9.147804,-10.659173,10.747558,-11.2663145,1,40.25231,1.4474518,-0.51234186,2.3066213,-1,1,60.584698,2.5717778,2.56737,1.9809415,-1,342.03419201918734,5.594793833210288,346.5106427662397
175.53514,238.25987,1.77682,70.68508,1.77682,167.57478,"[13.144826, 13.144826]","[3.1975136, 3.1975136]","[2.7534559, 2.7534559]",23.581896,10.756354,14.95487,25.75326,1,40.149002,0.10450017,1.0099581,3.864667,-1,3,65.26224,1.4567864,-2.331674,0.1056583755,-1,342.03419201918734,5.594793833210288,346.5106427662397
